location_name,spueshark,spueray
American Samoa,0.355924241,0.023212451
Antigua and Barbuda,0.694444444,0.041666667
Australia-Indian Ocean,1.264441918,0.109731757
Bahamas,0.631111457,0.088117449
Barbados,0.181200201,0.395345893
Belize,0.554194355,0.278423002
Bermuda,0.042735043,0
Brazil,0.296300108,0.135804216
British West Indies,0.107249975,0.29493743
Colombia,0.490603102,0.08510462
Cook Islands,2.954127698,0
Cuba,0.482637237,0.011583294
Dominican Republic,0.004968959,0.10434813
Dutch Caribbean,0.120747707,0.048763497
Federated States of Micronesia,2.023189169,0.004046378
Fiji,0.440389464,0.010066045
French Polynesia,2.169921676,0.013172049
French West Indies,0.017297429,0.090811502
Guam,0.185185185,0.005787037
India,0,0
Indonesia,0.285620328,0.450018075
Jamaica,0.247730246,0.241688045
Japan,0.10940422,0.145872293
Kenya,0.019794396,0.079177584
Kiribati,0.978430421,0
Madagascar,0.175404998,0.075464941
Malaysia,0.165323523,0.232955874
Maldives,1.127694859,0.207296849
Mayotte,0.275403609,0
Mozambique,0.800421274,0.173775671
New Caledonia,2.657999107,0.029932422
Niue,2.613013966,0.016030761
Palau,0.997007657,0.060221939
Papua New Guinea,0.826241443,0.181297583
Philippines,0.280458344,0.020193001
Puerto Rico,0.291289261,0.083225503
Qatar,0.015448069,0.061792276
Samoa,0.336017058,0.077542398
Saudi Arabia,0.205470339,0.085612641
Seychelles,1.143500223,0.254111161
Solomon Islands,1.594336821,0.019805426
South Africa,0.531986532,0.141414141
Sri Lanka,0.047057112,0.006722445
Taiwan,0.076998763,0.057749072
Tanzania,0.12846953,0.157018315
Tonga,1.465942234,0
Trinidad and Tobago,0.262114369,0.177104303
Turks and Caicos,0.597910002,0.022144815
USA-Pacific,2.083360257,0.006410339
USA-Western Atlantic,0.328934409,0.145976809
Vanuatu,0.365252535,0.084521248
Vietnam,0,0