location_name,ThrProp,Region
Cook Islands,84.61538462,Oceania
New Caledonia,86.36363636,Oceania
Niue,90,Oceania
French Polynesia,86.66666667,Oceania
USA-Pacific,81.81818182,North America
Federated States of Micronesia,92.30769231,Oceania
Solomon Islands,86.95652174,Oceania
Tonga,92.30769231,Oceania
Seychelles,86.95652174,Africa
Australia-Indian Ocean,47.22222222,Oceania
Maldives,86.95652174,Asia
Australia-Pacific Ocean,51.42857143,Oceania
Palau,92.85714286,Oceania
Papua New Guinea,72.91666667,Oceania
Kiribati,90.90909091,Oceania
Mozambique,79.41176471,Africa
Belize,82.35294118,North America
Antigua and Barbuda,80,North America
Indonesia,69.56521739,Asia
Bahamas,82.35294118,North America
South Africa,83.33333333,Africa
Turks and Caicos,85.71428571,North America
Barbados,80,North America
Colombia,75,South America
Cuba,81.25,North America
Jamaica,80,North America
USA-Western Atlantic,50,North America
Fiji,88.23529412,Oceania
Vanuatu,86.66666667,Oceania
Trinidad and Tobago,82.35294118,South America
Brazil,80,South America
Samoa,86.66666667,Oceania
British West Indies,72.22222222,North America
Malaysia,78.18181818,Asia
American Samoa,91.66666667,Oceania
Puerto Rico,80,North America
Philippines,76.59574468,Asia
Saudi Arabia,78.94736842,Asia
Tanzania,79.41176471,Africa
Mayotte,100,Africa
Japan,84.84848485,Asia
Madagascar,83.87096774,Africa
Guam,92.85714286,Oceania
Dutch Caribbean,86.66666667,South America
Taiwan,78.72340426,Asia
Dominican Republic,78.57142857,North America
French West Indies,80,North America
Kenya,81.25,Africa
Qatar,76.47058824,Asia
Sri Lanka,82.22222222,Asia
Bermuda,75,North America
India,78.18181818,Asia
Vietnam,79.59183673,Asia